nom_français,type,classe,description,puissance,précision,pp,type_degats
Abîme,sol,physique,"Le lanceur fait tomber l'ennemi dans une crevasse. Si cette attaque réussit, elle met K.O. sur le coup.",,30,5,ko_en_un_coup
Abri,normal,autre,Le lanceur esquive toutes les attaques. Le risque d'échec augmente lorsque la capacité est utilisée plusieurs fois de suite.,,,10,protection_change_plusieur
Acidarmure,poison,autre,Le lanceur modifie sa structure moléculaire pour se liquéfier et beaucoup augmenter sa Défense.,,,20,statut
Acide,poison,spécial,Le lanceur attaque l'ennemi avec un jet d'acide corrosif. Peut aussi baisser sa Défense Spéciale.,40,100,30,
Affûtage,normal,autre,Le lanceur réduit son nombre de polygones pour accentuer ses angles et augmenter son Attaque.,,,30,statut
Amnésie,psy,autre,Le lanceur fait le vide dans son esprit pour oublier ses soucis. Augmente beaucoup sa Défense Spéciale.,,,20,statut
Aqua-Jet,eau,physique,Le lanceur fonce sur l'ennemi si rapidement qu'on parvient à peine à le discerner. Frappe en priorité.,40,100,20,
Armure,normal,autre,Le lanceur contracte tous ses muscles pour augmenter sa Défense.,,,30,statut
Atterrissage,vol,autre,Le lanceur atterrit et se repose. Restaure jusqu'à la moitié de ses PV max.,,,10,statut
Bâillement,normal,autre,Fait bâiller l'ennemi qui s'endort au tour suivant.,,100,10,
Bain de Smog,poison,spécial,Le lanceur jette un tas de détritus spéciaux sur la cible. Les changements de stats de la cible sont annulés.,50,,15,
Balayage,combat,physique,Un puissant coup de pied bas qui fauche l'ennemi. Il est plus efficace contre les ennemis lourds.,,100,20,variable_degats_poids
Ball'Ombre,spectre,spécial,Projette une grande ombre sur l'ennemi. Peut aussi faire baisser sa Défense Spéciale.,80,100,15,
Bec Vrille,vol,physique,Une attaque utilisant le bec comme une perceuse.,80,100,20,
Bélier,normal,physique,Une charge violente qui blesse aussi légèrement le lanceur.,90,85,20,
Berceuse,normal,autre,Une berceuse plonge l'ennemi dans un profond sommeil.,,55,15,
Blizzard,glace,spécial,Une violente tempête de neige s'abat sur l'ennemi. Peut aussi le geler.,110,70,5,
Bluff,normal,physique,Permet de frapper en priorité et apeure l'ennemi. Ne fonctionne qu'au premier tour.,40,100,10,
Bomb-Beurk,poison,spécial,Des détritus toxiques sont projetés sur l'ennemi. Peut aussi l'empoisonner.,90,100,10,
Bomb'Œuf,normal,physique,"De toutes ses forces, le lanceur jette un gros œuf sur l'ennemi pour lui infliger des dégâts.",100,75,10,
Bouclier,psy,autre,Le lanceur érige un mur solide qui augmente beaucoup sa Défense.,,,20,statut
Boul'Armure,normal,autre,"Le lanceur s'enroule pour cacher ses points faibles, ce qui augmente sa Défense.",,,40,statut
Bourdon,insecte,spécial,Le lanceur fait vibrer son corps pour lancer une vague sonique. Peut aussi baisser la Défense Spéciale de l'ennemi.,90,100,10,
Boutefeu,feu,physique,Le lanceur s'embrase avant de charger l'ennemi. Le choc blesse aussi gravement le lanceur. Peut brûler l'ennemi.,120,100,15,
Brouillard,normal,autre,Le lanceur disperse un nuage d'encre ou de fumée. Réduit la Précision de l'ennemi.,,100,20,
Brume,glace,autre,Une brume blanche enveloppe l'équipe du lanceur et empêche la réduction des stats pour cinq tours.,,,30,statut
Buée Noire,glace,autre,Un brouillard qui annule les changements de stats de tous les Pokémon au combat.,,,30,statut
Bulles d'O,eau,spécial,Des bulles sont envoyées avec puissance sur l'ennemi. Peut aussi baisser sa Vitesse.,65,100,20,
Cage-Éclair,électrik,autre,"Un faible choc électrique frappe l'ennemi. Si l'attaque le touche, celui-ci est paralysé.",,90,20,
Câlinerie,fée,physique,Attaque l'ennemi avec un câlin. Peut diminuer son Attaque.,90,90,10,
Canicule,feu,spécial,Le lanceur provoque une vague de chaleur. Peut aussi brûler l'ennemi.,95,90,10,
Cascade,eau,physique,"Le lanceur charge l'ennemi à une vitesse remarquable, ce qui peut l'apeurer.",80,100,15,
Casse-Brique,combat,physique,Une attaque avec le tranchant de la main. Permet aussi de briser les barrières comme Mur Lumière et Protection.,75,100,15,
Charge,normal,physique,Le lanceur charge l'ennemi et le percute de tout son poids.,40,100,35,
Choc Mental,psy,spécial,Une faible vague télékinétique frappe l'ennemi. Peut aussi le plonger dans la confusion.,50,100,25,
Claquoir,eau,physique,Le lanceur piège l'ennemi dans sa dure coquille et l'écrase pendant quatre à cinq tours.,35,85,10,
Clonage,normal,autre,Le lanceur fait une copie de lui-même en sacrifiant quelques PV. La copie sert de leurre.,,,10,statut
Colère,dragon,physique,Le lanceur enrage et attaque pendant deux ou trois tours avant de devenir confus.,120,100,15,
Combo-Griffe,normal,physique,L'ennemi est lacéré par des faux ou des griffes de deux à cinq fois d'affilée.,18,80,15,
Constriction,normal,physique,De longs tentacules ou lianes attaquent l'ennemi. Peut aussi baisser sa Vitesse.,10,100,35,
Conversion,normal,autre,Le lanceur change de type pour prendre celui de la première capacité de sa liste.,,,30,statut
Copie,normal,autre,Le lanceur copie la dernière capacité utilisée par la cible et la conserve tant qu'il reste au combat.,,,10,statut
Coud'Krâne,normal,physique,Le lanceur baisse la tête pour augmenter sa Défense au premier tour et percuter l'ennemi au second.,130,100,15,
Coup Bas,ténèbres,physique,Permet au lanceur de frapper en priorité. Échoue si l'ennemi ne prépare pas une attaque.,70,100,5,
Coup d'Boule,normal,physique,Le lanceur donne un coup de tête. Peut apeurer l'ennemi.,70,100,15,
Coup d'Main,normal,autre,Une capacité qui augmente la puissance d'attaque d'un allié.,,100,20,
Coupe,normal,physique,Coupe l'ennemi avec des lames ou des griffes.,50,95,30,
Coupe-Vent,normal,spécial,Attaque en deux tours. Des lames de vent frappent l'ennemi au second tour. Taux de critique élevé.,80,100,10,
Croc de Mort,normal,physique,Le lanceur mord l'ennemi à l'aide de ses incisives aiguisées. Peut aussi l'apeurer.,80,90,15,
Croc Fatal,normal,physique,Une vilaine morsure d'incisives qui réduit de moitié les PV de l'ennemi.,,90,10,fixe_moitie_degats
Croissance,normal,autre,Le corps du lanceur se développe. Augmente l'Attaque et l'Attaque Spéciale.,,,20,statut
Cru-Aile,vol,physique,L'ennemi est frappé par de larges ailes déployées pour infliger des dégâts.,60,100,35,
Cyclone,normal,autre,Éjecte le Pokémon ennemi et le remplace par un autre.,,,20,statut
Damoclès,normal,physique,Une charge dangereuse et imprudente. Blesse aussi gravement le lanceur.,120,100,15,
Danse Flamme,feu,spécial,Un tourbillon de flammes emprisonne l'ennemi pendant quatre à cinq tours.,35,85,15,
Danse-Fleur,plante,spécial,Le lanceur attaque en projetant des pétales pendant deux à trois tours avant de céder à la confusion.,120,100,20,
Danse-Lames,normal,autre,Une danse frénétique qui exalte l'esprit combatif. Augmente beaucoup l'Attaque du lanceur.,,,20,statut
Dard-Nuée,insecte,physique,Envoie une rafale de dards. Peut toucher de deux à cinq fois.,25,95,20,
Dard-Venin,poison,physique,Un dard toxique qui transperce l'ennemi. Peut aussi l'empoisonner.,15,100,35,
Déflagration,feu,spécial,Un déluge de flammes ardentes submerge l'ennemi. Peut aussi le brûler.,110,85,5,
Demi-Tour,insecte,physique,"Après son attaque, le lanceur revient à toute vitesse et change de place avec un Pokémon de l'équipe prêt au combat.",70,100,20,
Destruction,normal,physique,Le lanceur explose en blessant tous les Pokémon autour de lui. Le lanceur tombe K.O.,200,100,5,
Détritus,poison,spécial,Des détritus toxiques sont projetés sur l'ennemi. Peut aussi l'empoisonner.,65,100,20,
Dévorêve,psy,spécial,Le lanceur mange le rêve de l'ennemi endormi et récupère en PV la moitié des dégâts infligés.,100,100,15,
Direct Toxik,poison,physique,"Attaque l'ennemi avec un tentacule, un bras, ou un autre membre plein de poison. Peut aussi l'empoisonner.",80,100,20,
Double Pied,combat,physique,Deux coups de pied qui frappent l'ennemi deux fois d'affilée.,30,100,30,
Double-Dard,insecte,physique,Un double coup de dard qui transperce l'ennemi deux fois d'affilée. Peut aussi l'empoisonner.,25,100,20,
Dracochoc,dragon,spécial,Le lanceur ouvre la bouche pour envoyer une onde de choc qui frappe l'ennemi.,85,100,10,
Draco-Queue,dragon,physique,Un coup puissant qui blesse la cible et l'envoie au loin pour forcer un autre membre de l'équipe adverse à venir au combat.,60,90,10,
Draco-Rage,dragon,spécial,La colère du lanceur déclenche une onde de choc destructrice qui inflige toujours 40 PV de dégâts.,,100,10,fixe_degat_40
Éboulement,roche,physique,Envoie de gros rochers sur l'ennemi pour infliger des dégâts. Peut aussi l'apeurer.,75,90,10,
Ébullition,eau,spécial,L'ennemi est attaqué par un jet d'eau bouillante. Peut aussi le brûler.,80,100,15,
Éclair,électrik,spécial,Une décharge électrique tombe sur l'ennemi. Peut aussi le paralyser.,40,100,30,
Éclat Magique,fée,spécial,Libère une puissante décharge lumineuse qui inflige des dégâts à l'ennemi.,80,100,10,
Éclats Glace,glace,physique,Le lanceur crée des éclats de glace qu'il envoie sur l'ennemi. Frappe en priorité.,40,100,30,
E-Coque,normal,autre,Le lanceur récupère jusqu'à la moitié de ses PV max.,,100,10,
Écrasement,normal,physique,Écrase l'ennemi avec un énorme pied. Peut aussi l'apeurer.,65,100,20,
Écras'Face,normal,physique,"Écrase l'ennemi avec les pattes avant ou la queue, par exemple.",40,100,35,
Écrous d'Poing,acier,physique,Le lanceur fait pivoter l'écrou de sa poitrine deux fois d'affilée pour frapper l'adversaire avec ses bras. Peut apeurer l'ennemi.,60,100,5,
Écume,eau,spécial,Des bulles frappent l'ennemi. Peut réduire sa Vitesse.,40,100,30,
Empal'Korne,normal,physique,"Un coup de corne en vrille qui empale l'ennemi, le mettant K.O. sur le coup s'il est touché.",,30,5,ko_en_un_coup
Encore,normal,autre,Oblige l'ennemi à répéter durant trois tours la dernière capacité utilisée.,,100,5,
Entrave,normal,autre,Empêche l'ennemi d'employer à nouveau sa dernière attaque. Dure quatre tours.,,100,20,
Étreinte,normal,physique,Ligote l'ennemi avec les tentacules ou le corps pour l'écraser durant quatre à cinq tours.,15,85,20,
Évo-Chardasso,normal,physique,Une charge dont la puissance est proportionnelle à l'amour qu'Évoli vous porte. Touche à coup sûr.,1,100,15,
Évo-Congélo,glace,spécial,Évoli frappe l'adversaire avec un cristal de buée noire gelée. Annule les changements de stats de tous les Pokémon au combat.,90,100,15,
Évo-Dynamo,électrik,physique,Une attaque qui foudroie et paralyse l'adversaire.,90,100,15,
Évo-Écolo,plante,physique,Une liane géante surgit du sol et bombarde l'adversaire de graines qui lui dérobent des PV à chaque tour. Ces PV sont ensuite absorbés par Évoli.,90,100,15,
Évo-Fabulo,fée,spécial,Une attaque qui enserre l'adversaire dans un tourbillon de senteurs oppressantes. Guérit toutes les altérations de statut de l'équipe.,90,100,15,
Évo-Flambo,feu,physique,Évoli s'embrase et percute violemment l'adversaire. Brûle aussi l'ennemi.,90,100,15,
Évo-Psycho,psy,spécial,Évoli submerge l'adversaire sous un flot d'ondes psychiques et crée un mur fabuleux qui réduit les dégâts causés par les attaques spéciales de l'ennemi.,90,100,15,
Évo-Ténébro,ténèbres,spécial,Évoli fait appel à son côté sombre pour attaquer l'adversaire et créer un mur fabuleux qui réduit les dégâts causés par les attaques physiques de l'ennemi.,90,100,15,
Évo-Thalasso,eau,physique,Évoli frappe l'adversaire avec des bulles d'eau qu'il absorbe ensuite pour récupérer un nombre de PV égal à la moitié des dégâts infligés à l'ennemi.,90,100,15,
Explosion,normal,physique,Le lanceur explose et inflige des dégâts à tous les Pokémon autour de lui. Met K.O. le lanceur.,250,100,5,
Exuviation,normal,autre,"Le lanceur brise sa coquille. Il baisse sa Défense et sa Défense Spéciale, mais augmente beaucoup son Attaque, son Attaque Spéciale et sa Vitesse.",,,15,statut
Façade,normal,physique,"Une attaque dont la puissance double lorsque le lanceur est empoisonné, paralysé ou brûlé.",70,100,20,
Fatal-Foudre,électrik,spécial,La foudre tombe sur l'ennemi pour lui infliger des dégâts. Peut aussi le paralyser.,110,70,10,
Feu Follet,feu,autre,Lance un bouquet de flammes maléfiques à l'ennemi pour lui infliger une brûlure.,,85,15,
Flammèche,feu,spécial,L'ennemi est attaqué par une faible flamme. Peut aussi le brûler.,40,100,25,
Flash,normal,autre,Explosion lumineuse qui fait baisser la Précision de l'ennemi.,,100,20,
Force,normal,physique,Le lanceur cogne l'ennemi de toutes ses forces.,80,100,15,
Force Poigne,normal,physique,L'ennemi est attrapé et compressé par les côtés.,55,100,30,
Fouet Lianes,plante,physique,Fouette l'ennemi avec de fines lianes pour infliger des dégâts.,45,100,25,
Frappe Atlas,combat,physique,L'ennemi est projeté grâce au pouvoir de la gravité. Inflige des dégâts équivalents au niveau du lanceur.,,100,20,fixe_niveau
Frénésie,normal,physique,"Une fois activée, cette capacité augmente l'Attaque du lanceur à mesure que celui-ci subit des attaques.",20,100,20,
Furie,normal,physique,"Frappe l'ennemi deux à cinq fois d'affilée avec un bec ou une corne, par exemple.",15,85,20,
Gaz Toxik,poison,autre,Un nuage de gaz toxique est projeté au visage de l'ennemi pour l'empoisonner.,,90,40,
Gonflette,combat,autre,"Le lanceur tend ses muscles pour se gonfler, ce qui booste son Attaque et sa Défense.",,,20,statut
Griffe,normal,physique,Lacère l'ennemi avec des griffes acérées pour lui infliger des dégâts.,40,100,35,
Grincement,normal,autre,Cri strident qui baisse beaucoup la Défense de l'ennemi.,,85,40,
Grobisou,normal,autre,Le lanceur fait un bisou à l'ennemi en prenant une mine effrayante. Endort l'ennemi.,,75,10,
Groz'Yeux,normal,autre,Le lanceur fait les gros yeux à l'ennemi pour l'intimider et baisser sa Défense.,,100,30,
Guillotine,normal,physique,"Des pinces lacèrent violemment l'ennemi, le mettant K.O. sur le coup s'il est touché.",,30,5,ko_en_un_coup
Hâte,psy,autre,Le lanceur se relaxe et allège son corps pour beaucoup augmenter sa Vitesse.,,,30,statut
Hurlement,normal,autre,Effraie le Pokémon ennemi et le remplace par un autre.,,,20,statut
Hydrocanon,eau,spécial,Un puissant jet d'eau est dirigé sur l'ennemi.,110,80,5,
Hypnose,psy,autre,Le lanceur hypnotise l'ennemi pour le plonger dans un profond sommeil.,,60,20,
Jackpot,normal,physique,Des pièces sont lancées sur l'ennemi. Permet d'obtenir de l'argent à la fin du combat.,40,100,20,
