pokemon_id,pokemon_fr,pokemon_pokepedia,move_name,learn_method,learn_level
1,Bulbizarre,Bulbizarre,Charge,level-up,0
1,Bulbizarre,Bulbizarre,Rugissement,level-up,0
1,Bulbizarre,Bulbizarre,Fouet Lianes,level-up,5
1,Bulbizarre,Bulbizarre,Vampigraine,level-up,9
1,Bulbizarre,Bulbizarre,Poudre Dodo,level-up,14
1,Bulbizarre,Bulbizarre,Poudre Toxik,level-up,14
1,Bulbizarre,Bulbizarre,Bélier,level-up,18
1,Bulbizarre,Bulbizarre,Tranch'Herbe,level-up,23
1,Bulbizarre,Bulbizarre,Croissance,level-up,27
1,Bulbizarre,Bulbizarre,Damoclès,level-up,32
1,Bulbizarre,Bulbizarre,Coup d'Boule,ct,1
1,Bulbizarre,Bulbizarre,Repos,ct,5
1,Bulbizarre,Bulbizarre,Mur Lumière,ct,6
1,Bulbizarre,Bulbizarre,Abri,ct,7
1,Bulbizarre,Bulbizarre,Clonage,ct,8
1,Bulbizarre,Bulbizarre,Protection,ct,9
1,Bulbizarre,Bulbizarre,Façade,ct,12
1,Bulbizarre,Bulbizarre,Toxik,ct,27
1,Bulbizarre,Bulbizarre,Colère,ct,39
1,Bulbizarre,Bulbizarre,Lance-Soleil,ct,45
1,Bulbizarre,Bulbizarre,Bomb-Beurk,ct,52
1,Bulbizarre,Bulbizarre,Méga-Sangsue,ct,53
2,Herbizarre,Herbizarre,Charge,level-up,0
2,Herbizarre,Herbizarre,Rugissement,level-up,0
2,Herbizarre,Herbizarre,Vampigraine,level-up,0
2,Herbizarre,Herbizarre,Vampigraine,level-up,9
2,Herbizarre,Herbizarre,Fouet Lianes,level-up,0
2,Herbizarre,Herbizarre,Fouet Lianes,level-up,5
2,Herbizarre,Herbizarre,Poudre Dodo,level-up,14
2,Herbizarre,Herbizarre,Poudre Toxik,level-up,14
2,Herbizarre,Herbizarre,Bélier,level-up,22
2,Herbizarre,Herbizarre,Tranch'Herbe,level-up,31
2,Herbizarre,Herbizarre,Croissance,level-up,39
2,Herbizarre,Herbizarre,Damoclès,level-up,48
2,Herbizarre,Herbizarre,Lance-Soleil,level-up,56
2,Herbizarre,Herbizarre,Coup d'Boule,ct,1
2,Herbizarre,Herbizarre,Repos,ct,5
2,Herbizarre,Herbizarre,Mur Lumière,ct,6
2,Herbizarre,Herbizarre,Abri,ct,7
2,Herbizarre,Herbizarre,Clonage,ct,8
2,Herbizarre,Herbizarre,Protection,ct,9
2,Herbizarre,Herbizarre,Façade,ct,12
2,Herbizarre,Herbizarre,Toxik,ct,27
2,Herbizarre,Herbizarre,Colère,ct,39
2,Herbizarre,Herbizarre,Lance-Soleil,ct,45
2,Herbizarre,Herbizarre,Bomb-Beurk,ct,52
2,Herbizarre,Herbizarre,Méga-Sangsue,ct,53
3,Florizarre,Florizarre,Amnésie,level-up,0
3,Florizarre,Florizarre,Charge,level-up,0
3,Florizarre,Florizarre,Danse-Fleur,level-up,0
3,Florizarre,Florizarre,Danse-Fleur,level-up,-1
3,Florizarre,Florizarre,Mégafouet,level-up,0
3,Florizarre,Florizarre,Rugissement,level-up,0
3,Florizarre,Florizarre,Vampigraine,level-up,0
3,Florizarre,Florizarre,Vampigraine,level-up,9
3,Florizarre,Florizarre,Fouet Lianes,level-up,0
3,Florizarre,Florizarre,Fouet Lianes,level-up,5
3,Florizarre,Florizarre,Poudre Dodo,level-up,14
3,Florizarre,Florizarre,Poudre Toxik,level-up,14
3,Florizarre,Florizarre,Bélier,level-up,22
3,Florizarre,Florizarre,Tranch'Herbe,level-up,31
3,Florizarre,Florizarre,Croissance,level-up,44
3,Florizarre,Florizarre,Damoclès,level-up,58
3,Florizarre,Florizarre,Lance-Soleil,level-up,71
3,Florizarre,Florizarre,Coup d'Boule,ct,1
3,Florizarre,Florizarre,Repos,ct,5
3,Florizarre,Florizarre,Mur Lumière,ct,6
3,Florizarre,Florizarre,Abri,ct,7
3,Florizarre,Florizarre,Clonage,ct,8
3,Florizarre,Florizarre,Protection,ct,9
3,Florizarre,Florizarre,Façade,ct,12
3,Florizarre,Florizarre,Toxik,ct,27
